"","Signature","Microbe","value"
"194","immune_Neutrophils","Mollivirus sibericum",0.137424547283702
"195","immune_Mast","Mollivirus sibericum",0.112441314553991
"196","immune_NK","Mollivirus sibericum",0.112877263581489
"197","immune_CD4Tconv","Mollivirus sibericum",0.00335345405767941
"198","immune_Treg","Mollivirus sibericum",0.0843393695506372
"199","immune_TMKI67","Mollivirus sibericum",-0.119818913480885
"200","immune_CD8Tex","Mollivirus sibericum",0.0946344735077129
"201","immune_CD8T","Mollivirus sibericum",0.103722334004024
"202","immune_Plasma","Mollivirus sibericum",-0.187625754527163
"203","immune_B","Mollivirus sibericum",-0.0507377598926895
"204","minor_Monocyte","Mollivirus sibericum",0.037625754527163
"205","minor_M2","Mollivirus sibericum",0.00073775989268947
"206","minor_M1","Mollivirus sibericum",0.0663648558014755
"207","minor_cDC2","Mollivirus sibericum",0.0618712273641851
"208","minor_cDC1","Mollivirus sibericum",-0.287994634473508
"209","minor_Th17","Mollivirus sibericum",0.186384976525822
"210","minor_Th2","Mollivirus sibericum",-0.312575452716298
"211","minor_Th1","Mollivirus sibericum",-0.120757880617036
"212","minor_CD4Teff","Mollivirus sibericum",0.17897384305835
"213","minor_CD4Tn","Mollivirus sibericum",0.0348423876592891
"214","minor_MAIT","Mollivirus sibericum",0.200704225352113
"215","minor_CD8Teff","Mollivirus sibericum",0.183534540576794
"216","minor_CD8Tem","Mollivirus sibericum",0.0757209926224011
"217","minor_CD8Tcm","Mollivirus sibericum",0.109154929577465
"218","minor_CD8Tn","Mollivirus sibericum",-0.0305835010060362
"219","stromal_Others","Mollivirus sibericum",-0.281254191817572
"220","stromal_Myofibroblasts","Mollivirus sibericum",-0.0326961770623742
"221","stromal_Fibroblasts","Mollivirus sibericum",0.0182763246143528
"222","stromal_Endothelial","Mollivirus sibericum",-0.0619718309859155
"223","malignant","Moraxella osloensis",0.184674714956405
"224","others","Moraxella osloensis",-0.0212944332662643
"225","stromal","Moraxella osloensis",-0.180583501006036
"226","immune","Moraxella osloensis",-0.203051643192488
"227","immune_ILC","Moraxella osloensis",-0.237592219986586
"228","immune_Mono.Macro","Moraxella osloensis",-0.27290409121395
"229","immune_pDC","Moraxella osloensis",-0.302213279678068
"230","immune_DC","Moraxella osloensis",-0.243192488262911
"231","immune_Neutrophils","Moraxella osloensis",-0.313648558014755
"232","immune_Mast","Moraxella osloensis",-0.386116700201207
"233","immune_NK","Moraxella osloensis",-0.283433936955064
"234","immune_CD4Tconv","Moraxella osloensis",-0.166767270288397
"235","immune_Treg","Moraxella osloensis",-0.259691482226693
"236","immune_TMKI67","Moraxella osloensis",0.256673373574782
"237","immune_CD8Tex","Moraxella osloensis",-0.245003353454058
"238","immune_CD8T","Moraxella osloensis",-0.285446009389671
"239","immune_Plasma","Moraxella osloensis",0.0573775989268947
"240","immune_B","Moraxella osloensis",-0.071663313212609
"241","minor_Monocyte","Moraxella osloensis",-0.141918175720993
"242","minor_M2","Moraxella osloensis",-0.395036887994634
"243","minor_M1","Moraxella osloensis",-0.251743796109993
"244","minor_cDC2","Moraxella osloensis",-0.248289738430583
"245","minor_cDC1","Moraxella osloensis",0.293226022803488
"246","minor_Th17","Moraxella osloensis",-0.30449362843729
"247","minor_Th2","Moraxella osloensis",0.332629107981221
"248","minor_Th1","Moraxella osloensis",0.000905432595573441
"249","minor_CD4Teff","Moraxella osloensis",-0.301576123407109
"250","minor_CD4Tn","Moraxella osloensis",-0.212810194500335
"251","minor_MAIT","Moraxella osloensis",-0.248088531187123
"252","minor_CD8Teff","Moraxella osloensis",-0.31569416498994
"253","minor_CD8Tem","Moraxella osloensis",-0.246512407780013
"254","minor_CD8Tcm","Moraxella osloensis",-0.267035546613011
"255","minor_CD8Tn","Moraxella osloensis",-0.397015425888665
"256","stromal_Others","Moraxella osloensis",0.323843058350101
"257","stromal_Myofibroblasts","Moraxella osloensis",-0.157344064386318
"258","stromal_Fibroblasts","Moraxella osloensis",-0.2018779342723
"259","stromal_Endothelial","Moraxella osloensis",-0.121797451374916
"260","malignant","Myroides profundi",-0.0655600268276325
