"","sample","Debaryomyces hansenii","Delftia lacustris","Enterobacter hormaechei","Fusobacterium nucleatum","Mannheimia sp. USDA-ARS-USMARC-1261","Mollivirus sibericum","Moraxella osloensis","Myroides profundi","Nocardia mangyaensis","Plasmodium sp. gorilla clade G2","Porphyromonas asaccharolytica","Proteus virus Isfahan","Pseudomonas fluorescens","Snyder-Theilen feline sarcoma virus","Theileria annulata"
"21","SL362832",8.94025865254055e-08,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09,2.01238215127641e-06,1.57644044152543e-09,1.57644044152543e-09,1.57644044152543e-09
"22","SL362833",4.9385156556763e-08,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09,2.26895631184829e-05,1.57644064873936e-09,1.57644064873936e-09,1.57644064873936e-09
"23","SL362852",1.57644059570262e-09,1.57644059570262e-09,1.57644059570262e-09,1.57644059570262e-09,1.57644059570262e-09,1.57644059570262e-09,2.45119556891652e-08,1.57644059570262e-09,1.6299383278595e-07,1.57644059570262e-09,1.57644059570262e-09,1.01397492113621e-06,1.57644059570262e-09,3.98389275008428e-08,1.57644059570262e-09
"24","SL362853",2.59902813591274e-07,1.57644063198255e-09,1.57644063198255e-09,5.38267711587469e-08,1.57644063198255e-09,1.57644063198255e-09,1.57644063198255e-09,1.57644063198255e-09,1.57644063198255e-09,1.57644063198255e-09,1.57644063198255e-09,2.26895628773037e-05,1.57644063198255e-09,1.57644063198255e-09,1.57644063198255e-09
"25","SL362854",6.47459310533929e-08,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09,2.01238276446898e-06,1.57644092188228e-09,1.57644092188228e-09,1.57644092188228e-09
"26","SL362855",4.93851453810161e-08,1.57644029199448e-09,7.14536600708211e-08,1.57644029199448e-09,1.57644029199448e-09,1.57644029199448e-09,1.57644029199448e-09,1.57644029199448e-09,1.57644029199448e-09,1.1714460486399e-07,1.57644029199448e-09,1.01397472578953e-06,1.57644029199448e-09,1.57644029199448e-09,1.57644029199448e-09
"27","SL362856",1.0233787618078e-07,1.57644113660285e-09,1.57644113660285e-09,1.57644113660285e-09,1.57644113660285e-09,1.57644113660285e-09,1.57644113660285e-09,6.47459398721713e-08,1.57644113660285e-09,1.57644113660285e-09,1.57644113660285e-09,2.26895701402566e-05,1.57644113660285e-09,1.57644113660285e-09,1.57644113660285e-09
"28","SL362857",1.62993816040889e-07,7.992585670448e-08,2.59902780908977e-07,1.57644043374807e-09,1.57644043374807e-09,1.57644043374807e-09,1.57644043374807e-09,1.57644043374807e-09,1.43365898995946e-08,1.57644043374807e-09,1.57644043374807e-09,2.01238214134834e-06,1.57644043374807e-09,1.57644043374807e-09,1.57644043374807e-09
"29","SL362859",4.9385148724652e-08,1.57644039872784e-09,1.57644039872784e-09,1.57644039872784e-09,1.57644039872784e-09,1.57644039872784e-09,1.57644039872784e-09,1.57644039872784e-09,1.57644039872784e-09,1.57644039872784e-09,1.57644039872784e-09,2.59902775135302e-07,1.57644039872784e-09,1.57644039872784e-09,1.23864645654663e-08
"30","SL362860",4.58964953994865e-08,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09,2.59902835604543e-07,1.57644076550405e-09,1.57644076550405e-09,1.57644076550405e-09
"31","SL362861",2.72883396527962e-08,1.57644041245625e-09,1.57644041245625e-09,1.57644041245625e-09,1.57644041245625e-09,1.57644041245625e-09,1.57644041245625e-09,1.57644041245625e-09,1.57644041245625e-09,7.99258556249803e-08,1.57644041245625e-09,2.26895597176821e-05,1.57644041245625e-09,1.57644041245625e-09,4.5896485120853e-08
"32","SL362878",5.38267768698655e-08,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09,5.12881057610282e-07,1.57644079924578e-09,1.57644079924578e-09,1.57644079924578e-09
"33","SL362879",1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09,5.12881188789862e-07,2.0123831226262e-06,1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09,1.57644120245202e-09
"34","SL362880",1.57644030862391e-09,1.57644030862391e-09,1.75825241499727e-08,1.57644030862391e-09,7.13653791425993e-09,1.57644030862391e-09,7.13653791425993e-09,1.57644030862391e-09,1.57644030862391e-09,1.17144606099716e-07,1.57644030862391e-09,1.01397473648566e-06,2.87898866767738e-08,1.57644030862391e-09,7.14536608245657e-08
"35","SL362881",3.16148777401078e-09,1.57644023604854e-09,1.57644023604854e-09,1.57644023604854e-09,7.1453657535018e-08,8.01022959767065e-09,1.57644023604854e-09,1.57644023604854e-09,1.57644023604854e-09,4.35329004802344e-09,1.57644023604854e-09,8.01022959767065e-09,1.57644023604854e-09,1.57644023604854e-09,1.57644023604854e-09
"36","SL362882",4.93851471544671e-08,1.57644034860543e-09,1.57644034860543e-09,1.57644034860543e-09,1.57644034860543e-09,1.57644034860543e-09,1.57644034860543e-09,1.57644034860543e-09,1.57644034860543e-09,1.57644034860543e-09,1.57644034860543e-09,2.59902766871778e-07,1.57644034860543e-09,1.57644034860543e-09,1.28198823528384e-08
"37","SL362883",2.87898864771778e-08,1.57644029769468e-09,1.57644029769468e-09,1.57644029769468e-09,1.57644029769468e-09,1.57644029769468e-09,1.57644029769468e-09,1.57644029769468e-09,1.57644029769468e-09,2.58651027741371e-08,1.57644029769468e-09,5.12880894435074e-07,1.57644029769468e-09,1.57644029769468e-09,1.57644029769468e-09
"38","SL362884",1.5764402064659e-09,1.17144598508398e-07,1.5764402064659e-09,1.55371529850927e-08,5.12880864754597e-07,1.5764402064659e-09,5.86678415971203e-08,1.5764402064659e-09,1.5764402064659e-09,3.42720949001587e-09,1.5764402064659e-09,2.59902743437681e-07,2.32337594754522e-09,1.5764402064659e-09,3.42720949001587e-09
"39","SL362886",1.5764403509153e-09,1.5764403509153e-09,1.5764403509153e-09,1.5764403509153e-09,1.5764403509153e-09,1.5764403509153e-09,7.14536627414632e-08,1.5764403509153e-09,1.5764403509153e-09,5.38267615618471e-08,1.5764403509153e-09,1.01397476368771e-06,1.5764403509153e-09,1.5764403509153e-09,2.87898874491242e-08
"40","SL362887",1.62993798282011e-07,1.57644026198809e-09,1.57644026198809e-09,1.57644026198809e-09,4.5572014814997e-09,4.5572014814997e-09,7.14536587107528e-08,1.57644026198809e-09,1.57644026198809e-09,4.5572014814997e-09,1.57644026198809e-09,4.72481208787928e-06,1.57644026198809e-09,1.57644026198809e-09,1.61725160678839e-08
"41","SL362888",1.62993803182676e-07,1.57644030938625e-09,1.57644030938625e-09,1.57644030938625e-09,1.57644030938625e-09,7.78516618504141e-09,1.57644030938625e-09,1.57644030938625e-09,1.57644030938625e-09,1.57644030938625e-09,1.57644030938625e-09,4.72481222993818e-06,1.57644030938625e-09,1.57644030938625e-09,2.10859791411661e-08
"42","SL362889",1.37697593506178e-08,1.57644041996281e-09,1.57644041996281e-09,1.57644041996281e-09,1.57644041996281e-09,1.57644041996281e-09,1.57644041996281e-09,8.94025853025536e-08,1.57644041996281e-09,1.37697593506178e-08,1.57644041996281e-09,2.59902778636246e-07,1.57644041996281e-09,1.57644041996281e-09,2.3229592257671e-08
"43","SL365876",1.01397505953826e-06,1.57644081087818e-09,1.57644081087818e-09,1.57644081087818e-09,1.57644081087818e-09,1.57644081087818e-09,1.57644081087818e-09,1.38180523330558e-07,1.57644081087818e-09,1.57644081087818e-09,1.57644081087818e-09,2.26895654521318e-05,1.57644081087818e-09,1.57644081087818e-09,1.57644081087818e-09
"44","SL365899",1.02337851705355e-07,1.57644075957658e-09,1.57644075957658e-09,1.57644075957658e-09,1.57644075957658e-09,1.57644075957658e-09,3.98389316421741e-08,1.57644075957658e-09,1.57644075957658e-09,1.57644075957658e-09,1.57644075957658e-09,1.02337851705355e-07,1.57644075957658e-09,1.57644075957658e-09,1.57644075957658e-09
"45","SL365900",1.57644024023283e-09,1.57644024023283e-09,1.57644024023283e-09,1.57644024023283e-09,2.59902749004728e-07,3.2604588157247e-08,6.56807044053723e-09,1.57644024023283e-09,1.57644024023283e-09,1.15745829564092e-08,1.57644024023283e-09,8.94025751097642e-08,3.3874405778405e-09,1.57644024023283e-09,6.56807044053723e-09
